bug_id,repo_id,bug_type,summary,description,gt_file_path,leakage_free_yes_no,gt_correct_yes_no,bug_type_matches_yes_no,notes
SB000437,z390development_z390,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,z390development_z390/TESTBEC7.CBL,,,,
SB000459,z390development_z390,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",z390development_z390/POWERS.CBL,,,,
SB000268,abrignoli_COBSOFT,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",abrignoli_COBSOFT/CS10010C.cbl,,,,
SB000119,bhbandam_AZ-Legacy-Engineering,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",bhbandam_AZ-Legacy-Engineering/wgrvgacc.cbl,,,,
RB000246,bmcsoftware_vscode-ispw,INFINITE_LOOP_NON_TERMINATION,Non-termination observed during processing,"A repeated processing block may never reach its termination condition, preventing completion for certain scenarios.",bmcsoftware_vscode-ispw/TPROG09.cbl,,,,
RB000003,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,MISSING_FILE_STATUS_HANDLING,File operation fails without proper error handling,"A file read/write path lacks robust status checks, which can cause failures or incorrect behavior when file conditions are unexpected.",seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL/HelloWorldPunchcard_V1.cob,,,,
SB000296,abrignoli_COBSOFT,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",abrignoli_COBSOFT/ProgramaPrincipal.cbl,,,,
RB000083,IBM_example-health-apis,UNINITIALIZED_DATA_ITEM_USE,Uninitialized value affects conditional behavior,"A decision uses a value that may not have been initialized, so output can vary unpredictably across runs or inputs.",IBM_example-health-apis/HCT1BI01.cbl,,,,
RB000114,ve3wwg_cobcurses,INFINITE_LOOP_NON_TERMINATION,Program does not complete due to non-terminating loop,"A loop termination condition is never satisfied on some paths, causing the program to hang and the job to not finish.",ve3wwg_cobcurses/sd002033.cob,,,,
RB000295,z390development_z390,UNINITIALIZED_DATA_ITEM_USE,Uninitialized value affects conditional behavior,"A decision uses a value that may not have been initialized, so output can vary unpredictably across runs or inputs.",z390development_z390/POWERS.CBL,,,,
SB000504,z390development_z390,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",z390development_z390/TESTFIL1.CBL,,,,
RB000101,ve3wwg_cobcurses,WRONG_CALCULATION_LOGIC,Business rule produces wrong output,"A rule or computation is applied incorrectly, leading to wrong results while still running successfully.",ve3wwg_cobcurses/3270test.cob,,,,
SB000128,bhbandam_AZ-Legacy-Engineering,MISSING_ELSE_FOR_CRITICAL_CHECK,Missing else-handling for an important condition,"A conditional check has no corresponding else-path handling, which can lead to silent skipping of required actions when the condition is not met.",bhbandam_AZ-Legacy-Engineering/wgrvgcus.cbl,,,,
RB000012,Martinfx_Cobol,MISSING_FILE_STATUS_HANDLING,File operation fails without proper error handling,"A file read/write path lacks robust status checks, which can cause failures or incorrect behavior when file conditions are unexpected.",Martinfx_Cobol/ConditionNameCondition.cbl,,,,
SB000502,z390development_z390,REDUNDANT_GOTO,Unnecessary control transfer complicates program flow,"A redundant control transfer changes execution flow unnecessarily, making logic harder to follow and increasing maintenance risk.",z390development_z390/TESTTRC3.CBL,,,,
SB000369,debinix_openjensen,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",debinix_openjensen/cgi-list-betygelev.cbl,,,,
SB000363,debinix_openjensen,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",debinix_openjensen/get-post-value.cbl,,,,
RB000322,neopragma_cobol-unit-test,WRONG_CALCULATION_LOGIC,Business rule produces wrong output,"A rule or computation is applied incorrectly, leading to wrong results while still running successfully.",neopragma_cobol-unit-test/CICSDRIV.CBL,,,,
RB000216,lucasrmagalhaes_learning-COBOL,WRONG_CALCULATION_LOGIC,Incorrect numeric results produced for valid inputs,The program completes but produces incorrect computed values due to a logic error in calculation or conditional selection.,lucasrmagalhaes_learning-COBOL/SUBMENU.cbl,,,,
SB000074,GaloisGirl_Coding,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",GaloisGirl_Coding/d06b.cob,,,,
RB000258,bmcsoftware_vscode-ispw,DIVIDE_BY_ZERO_RISK,Potential divide-by-zero in processing path,"The program performs division without ensuring a non-zero denominator, which can fail for certain records or execution paths.",bmcsoftware_vscode-ispw/TPROG08.cbl,,,,
SB000024,Martinfx_Cobol,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",Martinfx_Cobol/ClassCondition.cbl,,,,
SB000033,Martinfx_Cobol,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,Martinfx_Cobol/StatusCode.cbl,,,,
SB000492,z390development_z390,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",z390development_z390/TESTSUB1.CBL,,,,
SB000053,GaloisGirl_Coding,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",GaloisGirl_Coding/d23a.cob,,,,
SB000431,z390development_z390,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",z390development_z390/TESTCPY1.CBL,,,,
SB000193,ve3wwg_cobcurses,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,ve3wwg_cobcurses/cobcurses_menu_sd_menu_items.cob,,,,
SB000321,lucasrmagalhaes_learning-COBOL,UNDECLARED_IDENTIFIER_REFERENCE,Compilation fails due to missing data item declaration,"A referenced data item is not declared in the DATA DIVISION, causing an unknown identifier or compile-time failure during build.",lucasrmagalhaes_learning-COBOL/CLIENTES.cbl,,,,
RB000079,IBM_example-health-apis,UNINITIALIZED_DATA_ITEM_USE,Uninitialized value affects conditional behavior,"A decision uses a value that may not have been initialized, so output can vary unpredictably across runs or inputs.",IBM_example-health-apis/HCPRESTW.cbl,,,,
SB000408,bmcsoftware_vscode-ispw,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,bmcsoftware_vscode-ispw/CWBWDATE.cbl,,,,
