bug_id,repo_id,bug_type,summary,description,gt_file_path,leakage_free_yes_no,gt_correct_yes_no,bug_type_matches_yes_no,notes
RB000216,bmcsoftware_vscode-ispw,DIVIDE_BY_ZERO_RISK,Arithmetic failure during calculation under specific inputs,"A division operation may execute when the denominator becomes zero due to missing validation, causing abnormal termination or invalid numeric results.",bmcsoftware_vscode-ispw/CWBWDATE.cbl,,,,
SB000122,bhbandam_AZ-Legacy-Engineering,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",bhbandam_AZ-Legacy-Engineering/wbvalusr.cbl,,,,
RB000258,z390development_z390,MISSING_FILE_STATUS_HANDLING,I/O error not handled in file processing path,"File operations do not handle error/status outcomes adequately, leading to runtime failures under certain file conditions.",z390development_z390/TESTBEC1.CBL,,,,
SB000072,GaloisGirl_Coding,DEAD_CODE_AFTER_STOP_RUN,Dead code detected in termination path,Code exists in a path that is not executable due to program termination earlier in the flow.,GaloisGirl_Coding/d25a.cob,,,,
SB000081,GaloisGirl_Coding,REDUNDANT_GOTO,Unnecessary control transfer complicates program flow,"A redundant control transfer changes execution flow unnecessarily, making logic harder to follow and increasing maintenance risk.",GaloisGirl_Coding/d22a.cob,,,,
SB000540,neopragma_cobol-unit-test,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",neopragma_cobol-unit-test/SUBPROG.CBL,,,,
SB000101,GaloisGirl_Coding,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,GaloisGirl_Coding/d01b.cob,,,,
SB000479,z390development_z390,MISSING_ELSE_FOR_CRITICAL_CHECK,Missing else-handling for an important condition,"A conditional check has no corresponding else-path handling, which can lead to silent skipping of required actions when the condition is not met.",z390development_z390/U4.CBL,,,,
SB000241,ve3wwg_cobcurses,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,ve3wwg_cobcurses/cobcurses_test_units.cob,,,,
SB000369,debinix_openjensen,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",debinix_openjensen/cgi-list-betygelev.cbl,,,,
RB000079,ve3wwg_cobcurses,INFINITE_LOOP_NON_TERMINATION,Non-termination observed during processing,"A repeated processing block may never reach its termination condition, preventing completion for certain scenarios.",ve3wwg_cobcurses/test010.cob,,,,
SB000456,z390development_z390,DEAD_CODE_AFTER_STOP_RUN,Unreachable statements present after termination,"Statements appear after program termination and can never execute, reducing clarity and possibly hiding intended behavior.",z390development_z390/TESTPM3.CBL,,,,
SB000064,GaloisGirl_Coding,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",GaloisGirl_Coding/d12a.cob,,,,
RB000092,ve3wwg_cobcurses,WRONG_CALCULATION_LOGIC,Business rule produces wrong output,"A rule or computation is applied incorrectly, leading to wrong results while still running successfully.",ve3wwg_cobcurses/cobcurses_menu_sd_screens.cob,,,,
